name,description,sector,close,Perf.5Y,Volatility.W,Volatility.M,market_cap_basic,debt_to_equity_fq,RSI
EGCH,EGYPTIAN CHEMICAL INDUSTRIES (KIMA),Process Industries,7.12,78.01956123,4.076013638,5.53092426,14223904316.0,0.990959631,39.53583571
SKPC,SIDI KERIR PETROCHEMICALS - SIDPEC,Process Industries,27.3,138.3992329,4.674703134,6.172481586,21462839539.0,0.289548575,40.36751171
TANM,TANMIYA FOR REAL ESTATE INVESTMENT,Finance,2.52,28.57142857,10.8640044,10.71953263,318887000.0,0.004008906,45.71028399
EAST,EASTERN COMPANY,Consumer Non-Durables,23.56,45.70191713,6.086606441,5.291738878,56694999123.0,0.078153603,38.76936821
MCRO,MACRO GROUP PHARMACEUTICALS -MACRO CAPITAL,Health Technology,2.2,-54.63917526,5.777195282,5.650372328,1275981620.0,2.40075559,36.42684813
CERA,THE ARAB CERAMIC CO.- CERAMICA REMAS,Producer Manufacturing,0.69,70.64497817,4.523405898,6.042594395,504562516.0,1.100066766,27.85755759
COMI,COMMERCIAL INTERNATIONAL BANK-EGYPT (CIB),Finance,73.11,95.97751589,4.421496048,3.965500339,232411000000.0,0.309624532,41.68455436
HRHO,EFG HOLDING,Finance,14.72,70.17354025,5.878301007,4.455490921,23193139158.0,1.001447106,33.19985612
MBEN,M.B ENGINEERING,Distribution Services,3.11,514.1135537,7.355832719,9.15032058,368880056.0,0.664658796,45.34598691
SWDY,ELSWEDY ELECTRIC,Producer Manufacturing,34.48,155.9762435,4.464454533,5.70678491,71939584119.0,1.173562975,51.96482467
ORWE,ORIENTAL WEAVERS,Consumer Durables,19.04,243.0634445,5.805360585,6.760740814,12683594840.0,0.450221152,47.80606484
CNFN,CONTACT FINANCIAL HOLDING,Finance,4.2,14.48040886,8.75566343,7.342855143,5314564624.0,2.471093912,47.33884428
ABUK,ABOU KIR FERTILIZERS,Process Industries,64.5,163.8036702,4.56095412,5.020317937,83233322155.0,0.0,45.24065419
EXPA,EXPORT DEVELOPMENT BANK OF EGYPT,Finance,20.5,265.0336899,5.153235877,4.986390046,15447731069.0,0.785943259,38.92221589
MPRC,EGYPTIAN MEDIA PRODUCTION CITY,Consumer Services,14.15,220.2047442,5.594421245,7.702406446,2787561036.0,0.002493015,38.46070812
OIH,ORASCOM INVESTMENT HOLDING,Communications,0.335,65.45476403,2.962310673,5.354677406,1804517569.0,0.178716782,33.31604339
SUGR,DELTA SUGAR,Process Industries,57.09,281.3627255,3.442748271,4.633978505,8056942870.0,0.071368829,36.46979398
PHDC,PALM HILLS DEVELOPMENT COMPANY,Finance,3.25,40.69264069,4.610306292,6.668104469,9619015498.0,1.121187315,41.72019251
MBSC,MISR BENI SUEF CEMENT,Non-Energy Minerals,38.0,78.32004591,12.82195246,8.499989187,2783042808.0,0.024685972,40.36333814
ICFC,INTERNATIONAL COMPANY FOR FERTILIZERS & CHEMICALS,Process Industries,26.92,2139.600666,6.180677935,6.159650605,622800007.0,0.481442815,38.27032335
POUL,CAIRO POULTRY,Process Industries,6.69,34.3373494,3.760050833,5.286970437,3209310541.0,0.25723688,38.72868604
SAUD,AL BARAKA BANK EGYPT,Finance,11.24,213.2789818,2.585039168,3.767511799,8158500886.0,0.341672238,39.76065143
HDBK,HOUSING & DEVELOPMENT BANK,Finance,42.27,284.190125,3.613651759,4.473252095,22644004912.0,0.2890345,34.14667801
CIEB,CREDIT AGRICOLE EGYPT,Finance,20.04,90.0644429,5.744943789,6.511108349,25599999428.0,0.116672858,46.97076062
ORHD,ORASCOM DEVELOPMENT EGYPT,Finance,10.11,62.80193237,3.874299335,6.746417935,11542134588.0,1.001645563,39.41266408
